date,slug,from_stage,to_stage
2025-09-15,studio-scheduling-revamp,none,explore
2025-10-05,studio-scheduling-revamp,explore,plan-commit
2025-10-25,studio-scheduling-revamp,plan-commit,execute
2025-11-01,instructor-payroll-automation,none,explore
2025-11-20,instructor-payroll-automation,explore,discovery
2025-12-30,instructor-payroll-automation,discovery,plan-commit
2026-01-10,pricing-page-experiment,none,explore
2026-01-20,pilates-vertical-expansion,none,explore
2026-01-25,instructor-payroll-automation,plan-commit,execute
2026-02-01,pricing-page-experiment,explore,execute
2026-02-10,studio-scheduling-revamp,execute,rollout
2026-02-15,pilates-vertical-expansion,explore,plan-commit
2026-03-01,pricing-page-experiment,execute,done
2026-03-20,studio-scheduling-revamp,rollout,bau
2026-04-01,pilates-vertical-expansion,plan-commit,execute
2026-04-15,mobile-app-rewrite,none,explore
2026-05-10,mobile-app-rewrite,explore,execute
2026-05-15,instructor-payroll-automation,execute,bau
2026-05-25,churn-save-desk-reduction,none,explore
2026-06-01,soc2-type2-attestation,none,execute
2026-06-20,churn-save-desk-reduction,explore,discovery
2026-07-01,genai-studio-assistant,none,explore
2026-07-10,sso-enterprise-readiness,none,explore
2026-07-25,genai-studio-assistant,explore,discovery
2026-07-30,sso-enterprise-readiness,explore,plan-commit
2026-08-01,limit-execute-wip,none,explore
2026-08-05,billing-platform-extraction,none,explore
2026-08-10,limit-execute-wip,explore,discovery
2026-08-12,gym-partnerships-integration,none,explore
2026-08-15,explicit-discovery-skip-decision,none,explore
