date,slug,from_step,to_step
2026-05-04,q1-studio-benchmark-report,none,intake
2026-05-06,q1-studio-benchmark-report,intake,research
2026-05-12,q1-studio-benchmark-report,research,draft
2026-05-20,q1-studio-benchmark-report,draft,edit
2026-05-26,q1-studio-benchmark-report,edit,publish
2026-05-28,q1-studio-benchmark-report,publish,learn
2026-06-02,q1-studio-benchmark-report,learn,shipped
2026-05-11,mat-to-mobile-guide,none,intake
2026-05-14,mat-to-mobile-guide,intake,research
2026-05-19,mat-to-mobile-guide,research,angle-test
2026-05-24,mat-to-mobile-guide,angle-test,draft
2026-06-01,mat-to-mobile-guide,draft,edit
2026-06-05,mat-to-mobile-guide,edit,draft
2026-06-09,mat-to-mobile-guide,draft,edit
2026-06-14,mat-to-mobile-guide,edit,publish
2026-06-16,mat-to-mobile-guide,publish,amplify
2026-06-20,mat-to-mobile-guide,amplify,learn
2026-06-25,mat-to-mobile-guide,learn,shipped
2026-06-02,pricing-experiment-writeup,none,intake
2026-06-05,pricing-experiment-writeup,intake,research
2026-06-10,pricing-experiment-writeup,research,draft
2026-06-17,pricing-experiment-writeup,draft,edit
2026-06-22,pricing-experiment-writeup,edit,publish
2026-06-24,pricing-experiment-writeup,publish,learn
2026-06-29,pricing-experiment-writeup,learn,shipped
2026-06-15,studio-ops-checklist,none,intake
2026-06-18,studio-ops-checklist,intake,research
2026-06-23,studio-ops-checklist,research,draft
2026-06-30,studio-ops-checklist,draft,edit
2026-07-06,studio-ops-checklist,edit,draft
2026-07-10,studio-ops-checklist,draft,edit
2026-07-15,studio-ops-checklist,edit,publish
2026-07-17,studio-ops-checklist,publish,amplify
2026-07-21,studio-ops-checklist,amplify,learn
2026-07-27,studio-ops-checklist,learn,shipped
2026-07-01,instructor-payroll-explainer,none,intake
2026-07-04,instructor-payroll-explainer,intake,research
2026-07-09,instructor-payroll-explainer,research,angle-test
2026-07-13,instructor-payroll-explainer,angle-test,dropped
2026-06-20,q2-metrics-teardown,none,intake
2026-06-23,q2-metrics-teardown,intake,research
2026-06-28,q2-metrics-teardown,research,draft
2026-07-06,q2-metrics-teardown,draft,edit
2026-07-12,q2-metrics-teardown,edit,publish
2026-07-14,q2-metrics-teardown,publish,learn
2026-07-20,q2-metrics-teardown,learn,shipped
2026-07-20,agentic-flow-primer,none,intake
2026-07-23,agentic-flow-primer,intake,research
2026-07-29,agentic-flow-primer,research,angle-test
2026-08-03,agentic-flow-primer,angle-test,draft
2026-08-08,agentic-flow-primer,draft,edit
2026-07-15,studio-owner-churn-teardown,none,intake
2026-07-18,studio-owner-churn-teardown,intake,research
2026-07-25,studio-owner-churn-teardown,research,draft
2026-08-01,studio-owner-churn-teardown,draft,edit
2026-08-09,studio-owner-churn-teardown,edit,publish
2026-07-28,voice-of-studio-owner-digest,none,intake
2026-07-30,voice-of-studio-owner-digest,intake,research
2026-08-03,voice-of-studio-owner-digest,research,draft
2026-08-08,voice-of-studio-owner-digest,draft,edit
2026-08-13,voice-of-studio-owner-digest,edit,publish
2026-08-17,voice-of-studio-owner-digest,publish,amplify
2026-08-04,webinar-agentic-portfolio,none,intake
2026-08-07,webinar-agentic-portfolio,intake,research
2026-08-05,sales-objection-library,none,intake
2026-08-09,sales-objection-library,intake,research
2026-08-14,sales-objection-library,research,draft
2026-08-10,pricing-page-rewrite-notes,none,intake
2026-08-12,pricing-page-rewrite-notes,intake,research
2026-08-16,pricing-page-rewrite-notes,research,draft
2026-08-06,retention-part-one,none,intake
2026-08-11,retention-part-one,intake,research
2026-08-15,retention-part-one,research,draft
2026-08-06,retention-part-two,none,intake
2026-08-06,instructor-retention-series,none,intake
